customer_id,customer_segment,orders,net_revenue,gross_profit,avg_order_value,last_order_date,recency_days,top_category,value_band
C-00334,VIP,65,12886.61,4695.56,198.26,2026-04-21,9,Electronics,Strategic
C-00098,VIP,63,12803.27,3943.66,203.23,2026-04-30,0,Electronics,Strategic
C-02729,VIP,52,12130.42,3986.90,233.28,2026-04-16,14,Electronics,Strategic
C-00763,VIP,54,12051.42,4173.16,223.17,2026-04-17,13,Home,Strategic
C-02163,VIP,44,11721.90,3631.04,266.41,2026-04-28,2,Electronics,Strategic
C-00956,VIP,44,11610.60,4144.04,263.88,2026-03-27,34,Electronics,Strategic
C-01615,VIP,61,11313.96,3765.68,185.47,2026-04-25,5,Electronics,Strategic
C-01021,VIP,49,10838.39,3473.56,221.19,2026-03-29,32,Electronics,Strategic
C-00054,VIP,49,10715.39,3701.30,218.68,2026-04-24,6,Electronics,Strategic
C-01490,VIP,49,10713.18,3774.44,218.64,2026-04-27,3,Home,Strategic
C-02131,VIP,55,10524.10,3880.54,191.35,2026-04-03,27,Home,Strategic
C-01830,Returning,33,10353.00,3562.49,313.73,2026-04-18,12,Electronics,Strategic
C-00353,VIP,50,10304.92,3448.58,206.10,2026-04-23,7,Beauty,Strategic
C-00439,VIP,48,10271.66,3494.43,213.99,2026-04-20,10,Electronics,Strategic
C-01958,VIP,51,10241.15,3101.17,200.81,2026-04-26,4,Beauty,Strategic
C-02714,VIP,63,10169.94,3272.90,161.43,2026-04-16,14,Home,Strategic
C-00654,VIP,47,10124.31,3151.52,215.41,2026-04-25,5,Electronics,Strategic
C-00903,VIP,47,9986.68,3637.79,212.48,2026-04-26,4,Electronics,Strategic
C-01669,VIP,47,9954.73,3408.49,211.80,2026-04-29,1,Electronics,Strategic
C-00143,VIP,49,9948.82,3367.52,203.04,2026-04-05,25,Electronics,Strategic
C-01449,VIP,52,9936.20,3408.98,191.08,2026-04-14,16,Electronics,Strategic
C-00940,VIP,44,9860.58,3659.24,224.10,2026-04-13,17,Electronics,Strategic
C-01103,VIP,54,9828.12,3215.70,182.00,2026-04-21,9,Electronics,Strategic
C-00406,VIP,48,9815.77,2747.02,204.50,2026-04-08,22,Electronics,Strategic
C-00751,VIP,45,9751.91,3526.93,216.71,2026-04-25,5,Electronics,Strategic
C-00073,VIP,57,9748.94,2814.40,171.03,2026-04-02,28,Sports,Strategic
C-01825,VIP,43,9683.75,3296.04,225.20,2026-04-19,11,Home,Strategic
C-00810,VIP,56,9642.42,3261.16,172.19,2026-04-25,5,Electronics,Strategic
C-00411,VIP,45,9599.85,2816.92,213.33,2026-04-07,23,Electronics,Strategic
C-01121,VIP,48,9564.77,2927.28,199.27,2026-04-29,1,Electronics,Strategic
C-01512,VIP,47,9563.93,2728.26,203.49,2026-04-14,16,Electronics,Strategic
C-00808,VIP,49,9521.15,3120.26,194.31,2026-04-22,8,Sports,Strategic
C-01895,VIP,46,9476.36,3370.69,206.01,2026-04-22,8,Electronics,Strategic
C-00567,VIP,59,9449.67,2702.37,160.16,2026-04-26,4,Electronics,Strategic
C-00142,VIP,48,9434.92,3481.31,196.56,2026-04-25,5,Electronics,Strategic
C-02271,VIP,37,9365.39,2528.04,253.12,2026-04-17,13,Electronics,Strategic
C-00621,VIP,46,9363.63,3217.55,203.56,2026-04-17,13,Electronics,Strategic
C-00360,VIP,51,9342.40,3410.25,183.18,2026-04-24,6,Electronics,Strategic
C-02296,VIP,36,9327.23,2814.82,259.09,2026-04-04,26,Electronics,Strategic
C-02486,VIP,53,9317.90,3334.78,175.81,2026-03-31,30,Beauty,Strategic
C-01080,VIP,59,9272.84,2597.97,157.17,2026-04-19,11,Home,Strategic
C-01702,VIP,53,9264.58,3419.67,174.80,2026-04-27,3,Home,Strategic
C-02796,VIP,56,9253.41,2739.96,165.24,2026-04-28,2,Electronics,Strategic
C-02394,VIP,52,9230.51,3413.14,177.51,2026-04-18,12,Electronics,Strategic
C-01157,VIP,46,9202.32,3208.66,200.05,2026-04-28,2,Home,Strategic
C-02389,VIP,52,9197.27,3039.23,176.87,2026-04-27,3,Electronics,Strategic
C-00175,VIP,47,9196.42,3482.15,195.67,2026-04-14,16,Home,Strategic
C-01725,VIP,47,9146.54,2642.96,194.61,2026-04-24,6,Home,Strategic
