customer_id,signup_date,home_region,customer_segment,acquisition_channel
C-00001,2023-06-23,South,New,Organic Search
C-00002,2023-06-04,Central,Returning,Organic Search
C-00003,2025-03-20,North,New,Organic Search
C-00004,2026-03-23,North,New,Social
C-00005,2025-11-27,East,New,Organic Search
C-00006,2022-11-20,North,Returning,Paid Search
C-00007,2024-05-29,Central,New,Paid Search
C-00008,2023-05-15,South,New,Paid Search
C-00009,2024-05-01,West,Returning,Email
C-00010,2024-12-21,South,New,Social
C-00011,2024-11-16,West,Returning,Organic Search
C-00012,2024-02-16,Central,Returning,Marketplace
C-00013,2023-06-01,East,New,Marketplace
C-00014,2023-10-06,North,New,Organic Search
C-00015,2023-04-02,North,Returning,Social
C-00016,2023-10-07,South,Returning,Direct
C-00017,2025-12-21,South,New,Social
C-00018,2023-03-01,North,New,Paid Search
C-00019,2024-05-08,Central,New,Email
C-00020,2024-08-12,East,New,Marketplace
C-00021,2025-06-03,North,New,Social
C-00022,2025-11-14,East,New,Marketplace
C-00023,2025-02-01,Central,New,Organic Search
C-00024,2025-08-13,North,New,Organic Search
C-00025,2023-09-30,South,Returning,Organic Search
C-00026,2024-12-27,East,Returning,Organic Search
C-00027,2025-12-14,North,Returning,Social
C-00028,2025-11-10,West,Returning,Paid Search
C-00029,2024-06-30,East,Returning,Direct
C-00030,2024-04-29,West,VIP,Email
C-00031,2023-06-12,South,Returning,Social
C-00032,2026-04-07,South,New,Organic Search
C-00033,2025-10-28,East,VIP,Email
C-00034,2023-06-24,Central,VIP,Marketplace
C-00035,2024-07-28,North,New,Email
C-00036,2023-04-17,East,New,Organic Search
C-00037,2025-11-01,North,Returning,Email
C-00038,2025-12-06,East,New,Email
C-00039,2024-01-14,West,VIP,Social
C-00040,2024-08-06,West,New,Paid Search
C-00041,2025-10-01,North,Returning,Organic Search
C-00042,2022-12-20,North,Returning,Organic Search
C-00043,2023-04-01,North,Returning,Organic Search
C-00044,2023-01-10,North,Returning,Organic Search
C-00045,2025-07-28,North,New,Direct
C-00046,2026-01-19,North,Returning,Email
C-00047,2025-02-17,North,New,Paid Search
C-00048,2025-03-23,Central,New,Organic Search
C-00049,2023-05-27,West,New,Marketplace
C-00050,2023-06-18,North,New,Paid Search
C-00051,2025-03-20,East,New,Marketplace
C-00052,2023-04-10,Central,Returning,Email
C-00053,2023-02-18,East,Returning,Organic Search
C-00054,2023-05-17,West,VIP,Organic Search
C-00055,2025-07-28,Central,Returning,Marketplace
C-00056,2023-10-10,Central,New,Organic Search
C-00057,2025-05-26,West,New,Social
C-00058,2025-12-19,East,Returning,Organic Search
C-00059,2024-01-26,East,VIP,Email
C-00060,2024-08-10,East,New,Email
C-00061,2025-10-29,Central,New,Organic Search
C-00062,2023-11-22,North,New,Marketplace
C-00063,2025-02-10,Central,New,Organic Search
C-00064,2026-03-08,North,New,Social
C-00065,2026-01-07,Central,Returning,Organic Search
C-00066,2024-08-11,South,New,Social
C-00067,2024-07-13,Central,Returning,Direct
C-00068,2022-11-26,Central,Returning,Direct
C-00069,2023-04-06,East,Returning,Organic Search
C-00070,2024-10-21,Central,VIP,Paid Search
C-00071,2023-09-26,East,Returning,Paid Search
C-00072,2025-10-25,West,New,Paid Search
C-00073,2023-06-07,North,VIP,Organic Search
C-00074,2023-06-14,North,Returning,Paid Search
C-00075,2024-01-12,North,Returning,Social
C-00076,2024-04-30,South,Returning,Marketplace
C-00077,2023-02-19,South,New,Organic Search
C-00078,2022-11-14,North,New,Direct
C-00079,2023-10-03,East,Returning,Paid Search
C-00080,2022-11-26,Central,New,Social
C-00081,2023-09-08,West,Returning,Email
C-00082,2023-09-06,North,Returning,Paid Search
C-00083,2023-01-27,North,VIP,Organic Search
C-00084,2023-06-05,East,New,Marketplace
C-00085,2023-09-19,North,VIP,Organic Search
C-00086,2023-11-04,North,VIP,Social
C-00087,2024-09-17,South,Returning,Social
C-00088,2024-03-29,West,New,Organic Search
C-00089,2023-01-25,North,Returning,Marketplace
C-00090,2025-06-06,West,New,Marketplace
C-00091,2024-02-06,North,New,Paid Search
C-00092,2023-03-29,South,VIP,Social
C-00093,2025-02-02,West,Returning,Paid Search
C-00094,2023-01-02,Central,New,Organic Search
C-00095,2024-05-03,East,New,Paid Search
C-00096,2024-08-10,Central,Returning,Organic Search
C-00097,2026-01-30,North,New,Paid Search
C-00098,2025-10-06,East,VIP,Social
C-00099,2023-12-15,North,New,Social
C-00100,2024-09-13,West,Returning,Organic Search
C-00101,2024-07-14,West,Returning,Paid Search
C-00102,2024-07-04,North,Returning,Social
C-00103,2024-12-22,Central,Returning,Email
C-00104,2024-07-15,West,New,Paid Search
C-00105,2024-01-11,East,Returning,Social
C-00106,2025-06-16,West,Returning,Email
C-00107,2023-10-20,South,Returning,Social
C-00108,2026-04-28,West,New,Social
C-00109,2024-08-03,North,New,Organic Search
C-00110,2024-03-22,East,VIP,Social
C-00111,2025-05-27,East,New,Organic Search
C-00112,2025-01-01,North,Returning,Social
C-00113,2022-11-18,Central,VIP,Marketplace
C-00114,2025-03-26,West,New,Social
C-00115,2025-06-15,North,New,Marketplace
C-00116,2025-05-29,East,New,Email
C-00117,2025-12-25,Central,Returning,Marketplace
C-00118,2026-04-14,Central,Returning,Paid Search
C-00119,2025-12-03,North,Returning,Marketplace
C-00120,2025-05-16,North,New,Social
C-00121,2025-10-09,North,Returning,Paid Search
C-00122,2024-06-14,South,New,Marketplace
C-00123,2023-04-21,North,New,Social
C-00124,2024-01-19,South,New,Email
C-00125,2025-03-07,West,New,Paid Search
C-00126,2026-02-15,North,VIP,Marketplace
C-00127,2026-01-29,North,New,Paid Search
C-00128,2025-01-13,Central,Returning,Paid Search
C-00129,2025-11-29,Central,Returning,Email
C-00130,2024-05-18,North,Returning,Paid Search
C-00131,2025-02-12,West,Returning,Direct
C-00132,2025-11-04,South,New,Email
C-00133,2023-01-01,South,New,Marketplace
C-00134,2023-11-14,South,New,Organic Search
C-00135,2024-09-06,Central,New,Organic Search
C-00136,2025-03-19,North,New,Organic Search
C-00137,2025-11-15,Central,New,Organic Search
C-00138,2023-03-27,West,Returning,Social
C-00139,2024-03-27,North,New,Organic Search
C-00140,2023-07-23,North,Returning,Direct
C-00141,2025-06-16,West,Returning,Organic Search
C-00142,2026-04-03,West,VIP,Social
C-00143,2023-10-08,North,VIP,Organic Search
C-00144,2024-08-06,Central,Returning,Paid Search
C-00145,2023-12-18,West,New,Social
C-00146,2023-06-03,South,Returning,Social
C-00147,2023-07-12,East,Returning,Organic Search
C-00148,2025-11-02,South,Returning,Email
C-00149,2024-10-05,South,New,Email
C-00150,2025-04-12,West,VIP,Marketplace
C-00151,2023-09-16,West,Returning,Direct
C-00152,2024-05-13,Central,Returning,Social
C-00153,2025-06-16,West,Returning,Organic Search
C-00154,2024-03-23,North,Returning,Marketplace
C-00155,2024-03-20,East,Returning,Social
C-00156,2024-09-25,Central,New,Organic Search
C-00157,2024-01-15,South,New,Organic Search
C-00158,2026-03-11,South,Returning,Organic Search
C-00159,2023-12-03,West,New,Email
C-00160,2024-03-13,West,Returning,Email
C-00161,2022-12-12,North,New,Social
C-00162,2024-07-26,South,Returning,Email
C-00163,2024-10-11,West,Returning,Paid Search
C-00164,2025-05-24,South,New,Organic Search
C-00165,2023-12-06,West,New,Direct
C-00166,2023-11-21,West,New,Organic Search
C-00167,2026-02-26,East,VIP,Paid Search
C-00168,2023-05-31,South,Returning,Paid Search
C-00169,2024-07-18,East,New,Organic Search
C-00170,2023-02-26,West,Returning,Organic Search
C-00171,2025-08-08,North,New,Paid Search
C-00172,2025-07-14,North,Returning,Organic Search
C-00173,2025-07-12,North,New,Email
C-00174,2026-01-31,North,Returning,Organic Search
C-00175,2026-01-02,North,VIP,Organic Search
C-00176,2025-12-23,East,Returning,Marketplace
C-00177,2024-02-12,South,Returning,Marketplace
C-00178,2024-07-07,Central,Returning,Paid Search
C-00179,2023-03-10,West,Returning,Direct
C-00180,2024-01-06,South,Returning,Organic Search
C-00181,2024-03-12,North,New,Organic Search
C-00182,2025-05-17,East,Returning,Organic Search
C-00183,2024-06-19,West,Returning,Paid Search
C-00184,2024-02-28,West,VIP,Social
C-00185,2023-12-17,East,Returning,Social
C-00186,2024-05-04,North,Returning,Organic Search
C-00187,2024-07-28,West,Returning,Direct
C-00188,2025-04-24,West,New,Social
C-00189,2024-05-17,East,Returning,Organic Search
C-00190,2023-01-27,West,VIP,Email
C-00191,2022-12-29,Central,New,Marketplace
C-00192,2026-01-28,North,Returning,Social
C-00193,2024-05-11,West,Returning,Organic Search
C-00194,2025-10-04,Central,Returning,Organic Search
C-00195,2026-02-17,West,Returning,Direct
C-00196,2025-06-26,South,New,Social
C-00197,2023-10-02,West,New,Paid Search
C-00198,2025-02-04,East,Returning,Paid Search
C-00199,2024-08-12,North,New,Social
C-00200,2025-09-25,North,Returning,Marketplace
C-00201,2025-06-10,North,New,Paid Search
C-00202,2025-08-23,West,Returning,Organic Search
C-00203,2025-12-05,South,New,Marketplace
C-00204,2025-07-26,Central,New,Email
C-00205,2024-03-11,South,Returning,Organic Search
C-00206,2025-02-19,Central,New,Direct
C-00207,2025-06-09,West,VIP,Organic Search
C-00208,2024-06-26,South,Returning,Marketplace
C-00209,2025-07-01,East,New,Paid Search
C-00210,2026-03-18,Central,Returning,Marketplace
C-00211,2024-05-25,Central,Returning,Paid Search
C-00212,2025-09-11,North,New,Social
C-00213,2026-02-21,West,Returning,Marketplace
C-00214,2025-05-09,South,Returning,Email
C-00215,2025-11-23,Central,New,Marketplace
C-00216,2024-03-10,North,Returning,Social
C-00217,2023-02-04,East,New,Direct
C-00218,2024-12-26,West,New,Marketplace
C-00219,2023-09-14,North,Returning,Email
C-00220,2026-02-27,North,New,Marketplace
C-00221,2023-05-30,East,Returning,Social
C-00222,2025-02-23,Central,Returning,Organic Search
C-00223,2024-05-02,West,New,Social
C-00224,2024-09-09,Central,Returning,Paid Search
C-00225,2024-08-16,Central,Returning,Email
C-00226,2025-11-19,North,New,Social
C-00227,2024-06-17,West,VIP,Paid Search
C-00228,2023-05-27,West,Returning,Organic Search
C-00229,2023-10-13,Central,Returning,Organic Search
C-00230,2023-03-01,South,New,Organic Search
C-00231,2025-10-29,West,New,Organic Search
C-00232,2023-10-31,Central,New,Email
C-00233,2024-03-14,East,Returning,Organic Search
C-00234,2024-04-10,West,Returning,Marketplace
C-00235,2025-06-16,West,VIP,Organic Search
C-00236,2025-04-29,Central,VIP,Paid Search
C-00237,2025-03-24,East,Returning,Paid Search
C-00238,2025-01-02,North,Returning,Paid Search
C-00239,2024-11-11,Central,Returning,Paid Search
C-00240,2025-01-25,East,New,Social
C-00241,2023-02-15,West,VIP,Marketplace
C-00242,2024-06-15,North,Returning,Marketplace
C-00243,2024-01-29,East,Returning,Social
C-00244,2023-08-14,Central,Returning,Social
C-00245,2024-07-31,North,Returning,Paid Search
C-00246,2023-08-03,South,New,Social
C-00247,2023-11-01,West,New,Marketplace
C-00248,2024-11-25,Central,Returning,Marketplace
C-00249,2024-04-16,Central,VIP,Direct
C-00250,2024-07-03,South,Returning,Organic Search
C-00251,2023-04-10,Central,New,Marketplace
C-00252,2025-01-28,West,VIP,Paid Search
C-00253,2025-01-23,East,New,Paid Search
C-00254,2024-04-26,West,Returning,Direct
C-00255,2023-06-16,East,Returning,Email
C-00256,2025-12-30,East,New,Social
C-00257,2025-06-14,South,VIP,Paid Search
C-00258,2023-08-20,North,New,Direct
C-00259,2023-07-02,Central,New,Organic Search
C-00260,2025-05-24,Central,New,Social
C-00261,2025-11-17,West,New,Organic Search
C-00262,2025-03-05,West,Returning,Email
C-00263,2024-06-01,South,New,Paid Search
C-00264,2024-03-04,North,Returning,Social
C-00265,2025-11-26,West,VIP,Organic Search
C-00266,2024-05-25,North,New,Marketplace
C-00267,2025-05-26,North,New,Social
C-00268,2022-12-20,South,New,Direct
C-00269,2026-01-06,West,New,Email
C-00270,2026-02-19,Central,New,Paid Search
C-00271,2023-09-05,East,Returning,Organic Search
C-00272,2023-08-30,East,VIP,Marketplace
C-00273,2023-06-20,North,Returning,Organic Search
C-00274,2024-03-08,North,Returning,Organic Search
C-00275,2023-07-24,East,Returning,Social
C-00276,2025-07-09,South,Returning,Email
C-00277,2025-05-20,Central,Returning,Organic Search
C-00278,2025-10-09,West,New,Organic Search
C-00279,2025-07-14,South,Returning,Organic Search
C-00280,2025-05-03,North,New,Email
C-00281,2023-03-21,East,New,Email
C-00282,2024-09-02,East,New,Paid Search
C-00283,2025-09-07,North,Returning,Social
C-00284,2025-12-10,North,Returning,Paid Search
C-00285,2024-02-17,West,New,Paid Search
C-00286,2023-05-20,South,New,Organic Search
C-00287,2023-09-15,East,Returning,Organic Search
C-00288,2023-04-30,North,New,Social
C-00289,2023-07-31,East,Returning,Email
C-00290,2024-09-12,South,Returning,Marketplace
C-00291,2025-03-22,West,Returning,Direct
C-00292,2026-03-20,North,New,Email
C-00293,2023-09-19,North,Returning,Organic Search
C-00294,2025-12-20,West,New,Email
C-00295,2025-04-03,Central,Returning,Marketplace
C-00296,2026-04-16,East,Returning,Email
C-00297,2024-05-07,South,New,Social
C-00298,2024-10-02,North,New,Organic Search
C-00299,2025-02-04,West,New,Direct
C-00300,2023-05-13,North,Returning,Paid Search
C-00301,2024-10-05,South,New,Paid Search
C-00302,2026-01-12,Central,Returning,Organic Search
C-00303,2026-04-25,North,New,Paid Search
C-00304,2025-03-24,East,Returning,Organic Search
C-00305,2025-09-21,South,New,Paid Search
C-00306,2026-03-05,West,Returning,Organic Search
C-00307,2025-01-24,North,VIP,Organic Search
C-00308,2024-01-13,West,Returning,Paid Search
C-00309,2023-07-10,West,New,Organic Search
C-00310,2024-12-24,North,Returning,Email
C-00311,2024-11-01,Central,New,Organic Search
C-00312,2022-12-15,North,Returning,Paid Search
C-00313,2025-04-04,West,Returning,Paid Search
C-00314,2023-06-30,Central,New,Organic Search
C-00315,2026-04-25,West,Returning,Paid Search
C-00316,2025-04-19,North,Returning,Email
C-00317,2025-10-15,Central,New,Social
C-00318,2024-02-03,North,New,Email
C-00319,2023-06-28,North,Returning,Social
C-00320,2024-10-26,West,Returning,Marketplace
C-00321,2024-03-04,South,New,Organic Search
C-00322,2023-09-16,West,Returning,Organic Search
C-00323,2025-08-14,East,Returning,Email
C-00324,2026-01-06,Central,Returning,Paid Search
C-00325,2024-08-15,North,New,Paid Search
C-00326,2024-07-19,East,Returning,Paid Search
C-00327,2023-04-07,East,New,Organic Search
C-00328,2024-06-16,Central,New,Marketplace
C-00329,2026-04-19,South,Returning,Email
C-00330,2023-01-30,West,Returning,Social
C-00331,2024-08-26,East,Returning,Direct
C-00332,2025-05-17,Central,New,Paid Search
C-00333,2023-04-28,North,Returning,Organic Search
C-00334,2025-04-21,East,VIP,Email
C-00335,2024-11-21,South,New,Paid Search
C-00336,2024-09-29,North,Returning,Social
C-00337,2024-09-22,North,New,Social
C-00338,2024-06-10,Central,New,Direct
C-00339,2026-03-25,South,Returning,Email
C-00340,2023-08-23,South,VIP,Social
C-00341,2025-01-17,West,New,Organic Search
C-00342,2025-12-25,West,New,Marketplace
C-00343,2025-10-20,West,New,Email
C-00344,2022-12-14,North,New,Organic Search
C-00345,2025-07-29,Central,New,Organic Search
C-00346,2024-07-04,North,Returning,Social
C-00347,2025-10-20,South,New,Social
C-00348,2023-08-02,North,Returning,Organic Search
C-00349,2023-10-12,North,Returning,Paid Search
C-00350,2024-03-07,East,VIP,Social
C-00351,2025-05-14,North,New,Direct
C-00352,2025-06-24,North,VIP,Social
C-00353,2026-01-18,East,VIP,Paid Search
C-00354,2024-12-28,South,Returning,Organic Search
C-00355,2023-12-20,North,Returning,Organic Search
C-00356,2025-07-18,East,Returning,Organic Search
C-00357,2025-09-28,South,Returning,Social
C-00358,2024-05-18,East,Returning,Marketplace
C-00359,2023-05-13,North,VIP,Paid Search
C-00360,2024-10-22,South,VIP,Paid Search
C-00361,2024-12-11,Central,New,Paid Search
C-00362,2023-01-03,North,New,Social
C-00363,2024-09-23,North,Returning,Paid Search
C-00364,2025-07-01,North,Returning,Social
C-00365,2025-05-13,Central,Returning,Organic Search
C-00366,2024-01-22,East,Returning,Social
C-00367,2025-10-22,West,Returning,Organic Search
C-00368,2023-07-14,South,New,Marketplace
C-00369,2025-05-31,West,New,Email
C-00370,2025-11-08,East,New,Organic Search
C-00371,2023-08-28,North,New,Paid Search
C-00372,2026-01-18,West,New,Organic Search
C-00373,2024-11-14,East,New,Email
C-00374,2025-09-11,South,Returning,Email
C-00375,2025-01-07,South,VIP,Organic Search
C-00376,2023-03-25,West,New,Social
C-00377,2026-02-10,South,Returning,Organic Search
C-00378,2025-11-29,West,New,Marketplace
C-00379,2025-06-15,East,VIP,Organic Search
C-00380,2023-08-10,West,New,Paid Search
C-00381,2024-06-29,West,New,Marketplace
C-00382,2024-08-14,East,VIP,Direct
C-00383,2025-11-23,North,Returning,Social
C-00384,2024-06-14,West,New,Marketplace
C-00385,2024-09-16,West,New,Paid Search
C-00386,2025-02-03,Central,Returning,Paid Search
C-00387,2023-11-24,East,Returning,Direct
C-00388,2025-10-05,North,New,Paid Search
C-00389,2025-04-06,West,Returning,Email
C-00390,2024-08-25,South,New,Paid Search
C-00391,2025-05-08,South,Returning,Social
C-00392,2024-10-26,West,Returning,Direct
C-00393,2026-04-19,South,VIP,Direct
C-00394,2023-03-04,West,New,Paid Search
C-00395,2023-09-30,North,VIP,Email
C-00396,2025-04-22,North,New,Social
C-00397,2024-11-26,Central,New,Organic Search
C-00398,2023-09-17,Central,Returning,Paid Search
C-00399,2023-04-13,East,Returning,Paid Search
C-00400,2024-05-30,North,New,Social
C-00401,2025-08-25,Central,Returning,Organic Search
C-00402,2024-04-23,North,Returning,Email
C-00403,2025-08-08,North,New,Organic Search
C-00404,2023-10-26,East,VIP,Organic Search
C-00405,2024-08-22,West,Returning,Email
C-00406,2024-06-23,Central,VIP,Social
C-00407,2023-10-29,East,Returning,Organic Search
C-00408,2023-12-23,North,Returning,Email
C-00409,2024-11-15,South,Returning,Marketplace
C-00410,2025-12-10,Central,New,Organic Search
C-00411,2025-01-30,West,VIP,Email
C-00412,2025-02-22,North,Returning,Direct
C-00413,2023-04-07,West,Returning,Paid Search
C-00414,2025-12-10,North,Returning,Direct
C-00415,2025-04-11,Central,Returning,Marketplace
C-00416,2025-10-03,North,New,Paid Search
C-00417,2024-02-11,Central,New,Marketplace
C-00418,2023-04-17,West,New,Email
C-00419,2023-07-21,East,Returning,Organic Search
C-00420,2023-10-18,East,Returning,Organic Search
C-00421,2026-03-30,Central,New,Organic Search
C-00422,2023-01-04,Central,New,Social
C-00423,2024-05-02,West,Returning,Paid Search
C-00424,2023-01-08,East,Returning,Paid Search
C-00425,2024-07-17,West,Returning,Social
C-00426,2024-07-08,West,Returning,Organic Search
C-00427,2025-03-07,North,Returning,Email
C-00428,2024-08-08,South,Returning,Direct
C-00429,2024-10-14,North,VIP,Paid Search
C-00430,2025-12-31,North,New,Organic Search
C-00431,2025-05-15,North,New,Paid Search
C-00432,2025-01-01,South,Returning,Direct
C-00433,2023-09-30,Central,Returning,Social
C-00434,2023-11-30,East,Returning,Email
C-00435,2025-08-24,East,Returning,Organic Search
C-00436,2025-01-20,Central,Returning,Organic Search
C-00437,2024-10-29,South,New,Email
C-00438,2025-06-27,North,New,Organic Search
C-00439,2023-08-08,West,VIP,Social
C-00440,2024-11-25,North,New,Email
C-00441,2024-11-18,North,Returning,Email
C-00442,2025-12-07,Central,New,Social
C-00443,2023-07-08,North,New,Paid Search
C-00444,2024-10-01,South,Returning,Organic Search
C-00445,2026-03-24,East,Returning,Organic Search
C-00446,2023-08-14,West,Returning,Email
C-00447,2023-09-08,East,Returning,Paid Search
C-00448,2026-04-15,South,New,Email
C-00449,2024-07-11,East,Returning,Email
C-00450,2025-08-06,South,Returning,Marketplace
C-00451,2024-11-30,North,New,Paid Search
C-00452,2024-07-29,West,Returning,Social
C-00453,2022-12-31,South,Returning,Social
C-00454,2026-02-03,West,Returning,Email
C-00455,2023-10-22,West,Returning,Social
C-00456,2024-12-24,West,New,Organic Search
C-00457,2023-06-20,East,New,Paid Search
C-00458,2025-03-01,South,Returning,Social
C-00459,2025-06-29,West,Returning,Organic Search
C-00460,2023-08-16,East,Returning,Direct
C-00461,2025-07-13,South,Returning,Organic Search
C-00462,2025-11-02,South,New,Social
C-00463,2024-05-01,North,Returning,Organic Search
C-00464,2025-12-23,Central,New,Direct
C-00465,2024-06-20,West,Returning,Email
C-00466,2025-07-16,Central,New,Marketplace
C-00467,2024-05-20,East,New,Email
C-00468,2025-01-23,Central,Returning,Marketplace
C-00469,2024-06-23,Central,New,Organic Search
C-00470,2025-04-30,West,Returning,Organic Search
C-00471,2025-11-14,East,New,Organic Search
C-00472,2023-06-18,East,Returning,Organic Search
C-00473,2025-10-29,North,New,Organic Search
C-00474,2024-09-13,North,Returning,Social
C-00475,2022-11-17,Central,VIP,Organic Search
C-00476,2025-07-08,North,Returning,Direct
C-00477,2024-08-25,North,New,Social
C-00478,2026-01-25,West,New,Marketplace
C-00479,2023-01-22,North,VIP,Marketplace
C-00480,2023-11-02,North,VIP,Marketplace
C-00481,2025-08-17,West,New,Marketplace
C-00482,2024-06-21,North,Returning,Email
C-00483,2023-06-14,South,VIP,Paid Search
C-00484,2025-11-23,Central,Returning,Organic Search
C-00485,2025-09-04,North,Returning,Organic Search
C-00486,2023-10-05,West,Returning,Social
C-00487,2022-12-05,West,Returning,Email
C-00488,2023-12-07,Central,New,Marketplace
C-00489,2025-03-31,North,Returning,Social
C-00490,2023-11-20,East,VIP,Direct
C-00491,2022-11-20,North,New,Social
C-00492,2024-09-12,West,New,Organic Search
C-00493,2024-11-12,North,Returning,Organic Search
C-00494,2024-07-27,West,New,Direct
C-00495,2024-08-04,West,Returning,Direct
C-00496,2024-11-28,North,Returning,Organic Search
C-00497,2023-09-16,Central,Returning,Paid Search
C-00498,2025-12-05,West,VIP,Marketplace
C-00499,2024-01-28,West,Returning,Email
C-00500,2023-04-23,East,Returning,Paid Search
C-00501,2026-01-05,West,New,Marketplace
C-00502,2023-12-26,North,Returning,Paid Search
C-00503,2025-10-07,West,Returning,Social
C-00504,2025-08-04,East,New,Marketplace
C-00505,2025-05-23,South,New,Email
C-00506,2025-12-25,West,Returning,Social
C-00507,2025-01-25,North,New,Organic Search
C-00508,2023-04-05,South,New,Organic Search
C-00509,2023-03-10,North,VIP,Direct
C-00510,2023-01-10,North,New,Organic Search
C-00511,2025-03-16,Central,New,Paid Search
C-00512,2024-12-19,West,New,Social
C-00513,2025-11-15,Central,New,Organic Search
C-00514,2025-11-11,North,New,Direct
C-00515,2022-11-14,Central,Returning,Email
C-00516,2025-11-26,South,Returning,Organic Search
C-00517,2025-06-07,South,New,Direct
C-00518,2023-06-26,West,New,Email
C-00519,2022-12-09,North,New,Email
C-00520,2025-05-09,West,Returning,Organic Search
C-00521,2023-02-05,North,New,Organic Search
C-00522,2023-03-02,Central,New,Organic Search
C-00523,2026-01-29,East,New,Social
C-00524,2024-08-24,Central,New,Direct
C-00525,2025-10-09,South,New,Organic Search
C-00526,2026-03-02,Central,Returning,Social
C-00527,2025-03-30,North,Returning,Paid Search
C-00528,2024-12-26,South,Returning,Paid Search
C-00529,2023-09-08,North,New,Email
C-00530,2024-03-14,South,Returning,Social
C-00531,2025-06-12,East,VIP,Direct
C-00532,2025-12-22,South,Returning,Organic Search
C-00533,2024-09-13,Central,Returning,Marketplace
