date,channel,spend,impressions,clicks
2024-01-01,Organic Search,281.44,11279,483
2024-01-01,Paid Search,1296.98,64739,2034
2024-01-01,Email,210.48,12498,859
2024-01-01,Social,914.23,60253,1442
2024-01-01,Marketplace,751.77,36382,1220
2024-01-01,Direct,87.81,4097,194
2024-01-02,Organic Search,257.46,10461,439
2024-01-02,Paid Search,1367.39,64977,2334
2024-01-02,Email,292.31,19027,1425
2024-01-02,Social,818.19,40275,899
2024-01-02,Marketplace,721.23,34204,1092
2024-01-02,Direct,152.60,9267,372
2024-01-03,Organic Search,295.06,19071,849
2024-01-03,Paid Search,1347.82,88031,2719
2024-01-03,Email,257.84,17465,1311
2024-01-03,Social,842.88,33525,1029
2024-01-03,Marketplace,666.09,40368,1519
2024-01-03,Direct,96.06,4033,235
2024-01-04,Organic Search,281.93,14408,606
2024-01-04,Paid Search,1292.49,72053,2270
2024-01-04,Email,203.67,13571,917
2024-01-04,Social,991.57,65783,1512
2024-01-04,Marketplace,695.14,39662,1171
2024-01-04,Direct,41.77,2560,134
2024-01-05,Organic Search,278.33,13871,582
2024-01-05,Paid Search,1376.00,74093,2338
2024-01-05,Email,207.48,9392,553
2024-01-05,Social,742.07,51900,1096
2024-01-05,Marketplace,696.42,44166,1763
2024-01-05,Direct,169.74,9485,497
2024-01-06,Organic Search,362.73,14944,659
2024-01-06,Paid Search,1312.93,91029,3012
2024-01-06,Email,233.76,11068,770
2024-01-06,Social,877.51,54096,1358
2024-01-06,Marketplace,717.57,50961,2262
2024-01-06,Direct,161.39,11222,458
2024-01-07,Organic Search,388.25,21225,931
2024-01-07,Paid Search,1248.54,79307,2558
2024-01-07,Email,247.89,9663,664
2024-01-07,Social,913.12,57554,1377
2024-01-07,Marketplace,736.70,38504,1395
2024-01-07,Direct,130.38,7780,390
2024-01-08,Organic Search,344.11,19441,873
2024-01-08,Paid Search,1371.14,80727,2481
2024-01-08,Email,329.23,22005,1599
2024-01-08,Social,865.79,59561,1745
2024-01-08,Marketplace,629.25,34958,1129
2024-01-08,Direct,164.54,10939,543
2024-01-09,Organic Search,317.94,21000,888
2024-01-09,Paid Search,1271.72,51955,1607
2024-01-09,Email,264.35,11831,868
2024-01-09,Social,868.57,55060,1373
2024-01-09,Marketplace,725.03,34299,1292
2024-01-09,Direct,97.90,5611,317
2024-01-10,Organic Search,307.32,16515,620
2024-01-10,Paid Search,1361.72,85522,2743
2024-01-10,Email,268.60,19026,1550
2024-01-10,Social,906.40,41146,812
2024-01-10,Marketplace,711.52,44559,1752
2024-01-10,Direct,124.23,7433,474
2024-01-11,Organic Search,351.09,22363,939
2024-01-11,Paid Search,1359.81,84309,2690
2024-01-11,Email,310.23,15116,1136
2024-01-11,Social,904.24,61525,1655
2024-01-11,Marketplace,742.66,45834,1898
2024-01-11,Direct,117.94,6802,402
2024-01-12,Organic Search,290.34,15472,775
2024-01-12,Paid Search,1294.71,50815,1313
2024-01-12,Email,268.45,15111,963
2024-01-12,Social,918.78,45750,1350
2024-01-12,Marketplace,757.44,34125,1039
2024-01-12,Direct,106.38,7043,316
2024-01-13,Organic Search,333.91,21468,897
2024-01-13,Paid Search,1352.52,52841,1858
2024-01-13,Email,295.77,13114,1039
2024-01-13,Social,941.61,47699,1338
2024-01-13,Marketplace,685.73,26846,1133
2024-01-13,Direct,104.09,7031,306
2024-01-14,Organic Search,376.18,18575,822
2024-01-14,Paid Search,1345.40,92896,2752
2024-01-14,Email,229.39,10168,813
2024-01-14,Social,986.33,52787,1358
2024-01-14,Marketplace,687.61,35465,1268
2024-01-14,Direct,140.75,7134,341
2024-01-15,Organic Search,294.24,14183,720
2024-01-15,Paid Search,1451.07,92793,2747
2024-01-15,Email,290.82,15213,990
2024-01-15,Social,923.77,47690,841
2024-01-15,Marketplace,784.80,54433,2121
2024-01-15,Direct,211.94,14847,615
2024-01-16,Organic Search,368.81,23442,1345
2024-01-16,Paid Search,1390.80,98242,3285
2024-01-16,Email,340.39,21797,1517
2024-01-16,Social,924.55,40330,881
2024-01-16,Marketplace,758.58,51598,1961
2024-01-16,Direct,118.08,5435,295
2024-01-17,Organic Search,336.73,15597,720
2024-01-17,Paid Search,1330.97,67513,1647
2024-01-17,Email,207.35,11198,807
2024-01-17,Social,883.48,60992,1263
2024-01-17,Marketplace,692.93,42969,1310
2024-01-17,Direct,125.81,5330,262
2024-01-18,Organic Search,333.67,21452,883
2024-01-18,Paid Search,1435.05,90168,2423
2024-01-18,Email,263.44,10652,797
2024-01-18,Social,838.47,48579,1232
2024-01-18,Marketplace,746.87,47879,2113
2024-01-18,Direct,96.48,6366,357
2024-01-19,Organic Search,274.62,18975,727
2024-01-19,Paid Search,1355.89,60189,1769
